"dataset_id","n_abnj","n_all"
"0d2c75a7-2c0f-416a-9d7a-9b8594a09b6f",0,148143
"0d4d1d93-df06-4a12-8d03-bd1083864563",0,7452
"0d4d29ea-c213-47d8-b48e-7ab7ca806290",0,5
"0d5a9997-439b-42be-9e01-c50a5a85e266",0,2173
"0d6383f4-3b68-4d14-aa79-efee05fdca30",0,669
"0d63d14c-5eae-4761-ae58-e0c1e6fe7a7d",17,17
"0d75d6e6-d632-4991-8412-c6dc70461ed5",0,6190
"0dbae3a7-3534-4993-88e3-a85a408c07d3",0,333
"0dcc14cb-e55f-4c4e-a69d-8c70a10fe07f",0,282
"0dd0a06f-8089-40c7-a391-77a958231c4f",572,592
"0dd1ca1a-7a43-422d-954a-f8bd7dfa5820",0,534
"0dd40113-e298-443a-961c-239d2f58a1cb",0,15130
"0dd690c9-4eaf-4399-8d60-44bae9053e81",407,408
"0e1d55f3-c7dc-4355-a81f-e48a96795329",575,63632
"0e1e9f4c-2e74-41f6-8d9d-df50ee034a46",0,640
"0e1f23cf-d2de-4adf-9a87-96e6a949fee3",0,5721
"0e2be190-07dd-4a5d-97fd-f1b796127b9a",1202,2103
"0e37b028-5871-4a2e-baa1-334aea843147",0,62
"0e4e4700-5e70-48b1-b100-d6b05888dfa9",0,24130
"0e80dc63-b47c-423a-8e34-362f3171ea18",0,780
"0eaab20a-6b95-4c2d-a447-787da942b256",0,739
"0eb320b8-c73b-4ea6-aafb-b51b5c679177",0,4
"0eb3c75a-195d-42e2-a5c8-a12e524f1dde",106,106
"0eb73d2d-262f-4c3b-a30f-8f8f1a476e8c",0,528
"0ed9d24d-4826-4b07-b345-7c3e1bea582a",0,9630
"0f17131c-6dad-43da-a559-fa009fdc3c54",0,568
"0f24088d-fcc6-4497-895b-2136f4d3fd1d",0,4
"0f51da36-df48-4bbe-abe8-d67413f12115",0,22
"0f6f3be7-1d06-4d8c-bd61-5fe4f0bc3e40",0,122
"0f7b0c9c-d77c-4852-9317-6a70c43a8031",0,3122
"0f89ee7f-29fe-4bd9-acaf-1e6cd4cb2be2",0,260
"0faea49c-2263-492e-a5e4-26e1931c50a9",0,31
