"dataset_id","dataset_title","dataset_url","dataset_records","organization","organization_oceanexpert_id","organization_oceanexpert_typeid","organization_oceanexpert_typename","type_display","givenname","surname"
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)","http://ogc-act.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v03",114678,"CSIRO Oceans and Atmosphere",17014,3,"Government","Contact","Eric","Raes"
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)","http://ogc-act.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v03",114678,"CSIRO Oceans and Atmosphere",17014,3,"Government","Creator","Eric","Raes"
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)","http://ogc-act.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v03",114678,"CSIRO Oceans and Atmosphere",17014,3,"Government","Metadata Provider","Eric","Raes"
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)","http://ogc-act.csiro.au/ipt/resource?r=bioplatforms_mm_in2016_v03",114678,"CSIRO Oceans and Atmosphere",17014,3,"Government","Publisher","Dave","Watts"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Contact",,"Data Manager"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Creator",,"Data Manager"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,"Antarctic Biodiversity Portal",19457,7,"International / Intergovernmental","Metadata Provider",,"Data Manager"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Claire","Saraux"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Co-ordinator","Yvon","Le Maho"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing","http://ipt.biodiversity.aq/resource?r=antavia-tracking-king",100868,,,,,"Data collector","Céline","Le Bohec"
