"id","title","records","institute","oceanexpert_id","typeid","type"
"e62bd21e-63ff-41d7-a656-f765816e2800","Seabirds of the Southern and South Indian Ocean",121820,"University of Tasmania (UTAS)",NA,NA,NA
"e62bd21e-63ff-41d7-a656-f765816e2800","Seabirds of the Southern and South Indian Ocean",121820,"Australian Antarctic Division; Australian Antarctic Data Centre",NA,NA,NA
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)",114678,"CSIRO Oceans and Atmosphere (Hobart)",17014,3,"Government"
"2f3bb864-dec5-492e-90c1-35d592d640ab","Marine Microbes from RV Investigator voyage IN2016_V03, 170W, Pacific Ocean (2016)",114678,"CSIRO Oceans and Atmosphere",NA,NA,NA
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing",100868,"Antarctic Biodiversity Information Facility",19457,7,"International / Intergovernmental"
"2777a9c6-72e5-4271-b0fa-523aa34012a4","ANTAVIA TrackingKing",100868,"Antarctic Biodiversity Portal",NA,NA,NA
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey",93052,"Australian Antarctic Division",5028,3,"Government"
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey",93052,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey",93052,"Australian Antarctic Division (AAD)",NA,NA,NA
"6d6d7acc-b9d5-4b20-aa23-3ea5873a05bf","Southern Ocean Continuous Zooplankton Recorder (SO-CPR) Survey",93052,"Australian Antarctic Division Australian Antarctic Data Centre (AAD)",NA,NA,NA
"5ad4244f-895a-4b9c-99be-1f88f5369023","Ecoscope tuna observer data",92570,"Institut de Recherche pour le Developpement",15547,2,"Research"
"5ad4244f-895a-4b9c-99be-1f88f5369023","Ecoscope tuna observer data",92570,"Institut de Recherche pour le Développement (IRD)",NA,NA,NA
"b58d5ca0-1af8-48b3-993d-6c89742bb0d2","PANGAEA - Data from the Ocean Drilling Program (ODP)",89846,"Vlaams Instituut voor de Zee",6223,3,"Government"
"b58d5ca0-1af8-48b3-993d-6c89742bb0d2","PANGAEA - Data from the Ocean Drilling Program (ODP)",89846,"Flanders Marine Institute (VLIZ)",NA,NA,NA
"15700106-b0f0-4134-b3d4-4d48acce406a","Ecoscope tuna bycatch observer data",89643,"Institut de Recherche pour le Developpement",15547,2,"Research"
"15700106-b0f0-4134-b3d4-4d48acce406a","Ecoscope tuna bycatch observer data",89643,"Institut de Recherche pour le Développement (IRD)",NA,NA,NA
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys",82182,"Northwest Atlantic Fisheries Centre (DFO – NWAFC), Fisheries and Oceans Canada",9838,3,"Government"
"f1a11336-64b8-46f4-ba10-5095d150039f","DFO Newfoundland and Labrador Region Ecosystem Trawl Surveys",82182,"Fisheries and Oceans Canada",19196,3,"Government"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"British Antarctic Survey",5163,2,"Research"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Thünen Institut für Seefischerei",15531,3,"Government"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Commission for the Conservation of Antarctic Marine Living Resources",19300,7,"International / Intergovernmental"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Antarctic Biodiversity Information Facility",19457,7,"International / Intergovernmental"
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Antarctic Biodiversity Information Facility (ANTABIF)",NA,NA,NA
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Natural Environment Research Council; British Antarctic Survey",NA,NA,NA
"4d315300-6794-43d6-96a8-178bbcad57c6","CCAMLR historic KRILL",61942,"Thünen Institute of Sea Fisheries",NA,NA,NA
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections",57526,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections",57526,"National Museum of Natural History, Smithsonian Institution",7553,3,"Government"
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections",57526,"Smithsonian Institution; National Museum of Natural History; Department of Invertebrate Zoology (IZ)",NA,NA,NA
"89e23fc8-3f61-4480-9de3-358fe6eefe0b","National Museum of Natural History Invertebrate Zoology Collections",57526,"Smithsonian Institution; National Museum of Natural History Department of Invertebrate Zoology (NMNM-IZ)",NA,NA,NA
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data",55049,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data",55049,"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Southeast Fisheries Science Center (NOAA-SEFSC)",NA,NA,NA
"3d9cba1d-9b12-4ea6-9ab1-5fb12664c66f","NOAAs Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data",55049,"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Southeast Fisheries Science Center (SEFSC)",NA,NA,NA
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data",53000,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data",53000,"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Southeast Fisheries Science Center (NOAA-SEFSC)",NA,NA,NA
"7aee17f1-d6e8-4204-a4b2-eafdf89563cf","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data",53000,"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Southeast Fisheries Science Center (SEFSC)",NA,NA,NA
"56e55f76-6dda-403d-805b-f8922fa1766d","Taxonomically comprehensive assessment of biodiversity of animal plankton throughout the world ocean",50096,"Intergovernmental Oceanographic Commission of UNESCO",6860,7,"International / Intergovernmental"
"56e55f76-6dda-403d-805b-f8922fa1766d","Taxonomically comprehensive assessment of biodiversity of animal plankton throughout the world ocean",50096,"Woods Hole Oceanographic Institution",9783,1,"Academic"
"56e55f76-6dda-403d-805b-f8922fa1766d","Taxonomically comprehensive assessment of biodiversity of animal plankton throughout the world ocean",50096,"Woods Hole Oceanographic Institution (WHOI)",NA,NA,NA
"f62024d7-1126-41a8-8dde-ff257d232c4d","Ecoscope Observation Database",49294,"Vlaams Instituut voor de Zee",6223,3,"Government"
"f62024d7-1126-41a8-8dde-ff257d232c4d","Ecoscope Observation Database",49294,"Institut de Recherche pour le Developpement",15547,2,"Research"
"f62024d7-1126-41a8-8dde-ff257d232c4d","Ecoscope Observation Database",49294,"Institut de Recherche pour le Développement (IRD)",NA,NA,NA
